time,temperature,humidity
2023-07-13T00:00+00:00,16.2,88.44
2023-07-13T01:00+00:00,15.59,94.01
2023-07-13T02:00+00:00,15.19,92.68
2023-07-13T03:00+00:00,14.81,92.67
2023-07-13T04:00+00:00,14.41,92.53
2023-07-13T05:00+00:00,14.85,86.41
2023-07-13T06:00+00:00,15.5,87.5
2023-07-13T07:00+00:00,15.97,89.41
2023-07-13T08:00+00:00,16.3,85.63
2023-07-13T09:00+00:00,17.32,79.33
2023-07-13T10:00+00:00,19.18,74.58
2023-07-13T11:00+00:00,19.35,72.9
2023-07-13T12:00+00:00,19.77,72.97
2023-07-13T13:00+00:00,18.63,78.75
2023-07-13T14:00+00:00,18.11,82.36
2023-07-13T15:00+00:00,17.72,85.55
2023-07-13T16:00+00:00,19.27,74.24
2023-07-13T17:00+00:00,19.86,72.7
2023-07-13T18:00+00:00,19.36,75.9
2023-07-13T19:00+00:00,18.24,79.06
2023-07-13T20:00+00:00,17.78,80.63
2023-07-13T21:00+00:00,17.27,75.92
2023-07-13T22:00+00:00,16.92,76.59
2023-07-13T23:00+00:00,16.49,74.1
2023-07-14T00:00+00:00,15.88,73.28